FREQUENCY,MAGNITUDE,PHASE
4.16869383470331e+03,-1.38475294411139e+00,-2.94269057203364e+01
4.26579518801588e+03,-1.43388211117858e+00,-2.99948162190857e+01
4.36515832240161e+03,-1.48473785259070e+00,-3.05693036326183e+01
4.46683592150958e+03,-1.53735968126987e+00,-3.11502105087216e+01
4.57088189614870e+03,-1.59178654585804e+00,-3.17373671403107e+01
4.67735141287193e+03,-1.64805672121074e+00,-3.23305915535289e+01
4.78630092322633e+03,-1.70620769670844e+00,-3.29296895444749e+01
4.89778819368441e+03,-1.76627606294265e+00,-3.35344547668245e+01
5.01187233627267e+03,-1.82829739738036e+00,-3.41446688723059e+01
5.12861383991359e+03,-1.89230614965412e+00,-3.47601017056636e+01
5.24807460249767e+03,-1.95833552716111e+00,-3.53805115553375e+01
5.37031796370247e+03,-2.02641738169051e+00,-3.60056454607026e+01
5.49540873857618e+03,-2.09658209782131e+00,-3.66352395762273e+01
5.62341325190343e+03,-2.16885848385386e+00,-3.72690195924527e+01
5.75439937337150e+03,-2.24327366604887e+00,-3.79067012131809e+01
5.88843655355582e+03,-2.31985298694991e+00,-3.85479906877426e+01
6.02559586074351e+03,-2.39861990855836e+00,-3.91925853966768e+01
6.16595001861475e+03,-2.47959592111547e+00,-3.98401744886356e+01
6.30957344480186e+03,-2.56280045821838e+00,-4.04904395657825e+01
6.45654229034648e+03,-2.64825081896378e+00,-4.11430554144524e+01
6.60693448007588e+03,-2.73596209776705e+00,-4.17976907773415e+01
6.76082975391974e+03,-2.82594712245123e+00,-4.24540091630319e+01
6.91830970918928e+03,-2.91821640113995e+00,-4.31116696882503e+01
7.07945784384129e+03,-3.01277807841481e+00,-4.37703279478536e+01
7.24435960074981e+03,-3.10963790112542e+00,-4.44296369072443e+01
7.41310241300908e+03,-3.20879919415472e+00,-4.50892478116300e+01
7.58577575029174e+03,-3.31026284635579e+00,-4.57488111063497e+01
7.76247116628682e+03,-3.41402730678794e+00,-4.64079773623657e+01
7.94328234724272e+03,-3.52008859128319e+00,-4.70663982009351e+01
8.12830516164089e+03,-3.62844029928738e+00,-4.77237272115174e+01
8.31763771102661e+03,-3.73907364082236e+00,-4.83796208570237e+01
8.51138038202366e+03,-3.85197747332966e+00,-4.90337393606825e+01
8.70963589956070e+03,-3.96713834806949e+00,-4.96857475690145e+01
8.91250938133734e+03,-4.08454056566692e+00,-5.03353157856801e+01
9.12010839355898e+03,-4.20416624032300e+00,-5.09821205713111e+01
9.33254300796979e+03,-4.32599537214010e+00,-5.16258455048186e+01
9.54992586021424e+03,-4.45000592695284e+00,-5.22661819021174e+01
9.77237220955798e+03,-4.57617392300080e+00,-5.29028294886552e+01
