Freq.	V(out)
1.81970085860997e+02	(2.52665877588565e+01dB,-9.86647619449203e+01°)
1.86208713666286e+02	(2.54545839260971e+01dB,-9.91769429344918e+01°)
1.90546071796323e+02	(2.56417904845805e+01dB,-9.96924488444623e+01°)
1.94984459975803e+02	(2.58281874789561e+01dB,-1.00211434292888e+02°)
1.99526231496887e+02	(2.60137538990943e+01dB,-1.00734049861011e+02°)
2.04173794466952e+02	(2.61984676846785e+01dB,-1.01260441803202e+02°)
2.08929613085403e+02	(2.63823057313453e+01dB,-1.01790751746717e+02°)
2.13796208950222e+02	(2.65652438985631e+01dB,-1.02325116381362e+02°)
2.18776162394954e+02	(2.67472570194489e+01dB,-1.02863667139263e+02°)
2.23872113856832e+02	(2.69283189127234e+01dB,-1.03406529865043e+02°)
2.29086765276776e+02	(2.71084023970155e+01dB,-1.03953824476844e+02°)
2.34422881531991e+02	(2.72874793077277e+01dB,-1.04505664618732e+02°)
2.39883291901947e+02	(2.74655205166756e+01dB,-1.05062157305201e+02°)
2.45470891568501e+02	(2.76424959547174e+01dB,-1.05623402558585e+02°)
2.51188643150956e+02	(2.78183746375876e+01dB,-1.06189493040399e+02°)
2.57039578276885e+02	(2.79931246951448e+01dB,-1.06760513677722e+02°)
2.63026799189536e+02	(2.81667134042399e+01dB,-1.07336541285953e+02°)
2.69153480392690e+02	(2.83391072254011e+01dB,-1.07917644189414e+02°)
2.75422870333815e+02	(2.85102718435250e+01dB,-1.08503881841441e+02°)
2.81838293126443e+02	(2.86801722127456e+01dB,-1.09095304445789e+02°)
2.88403150312659e+02	(2.88487726056411e+01dB,-1.09691952581346e+02°)
2.95120922666637e+02	(2.90160366669152e+01dB,-1.10293856832317e+02°)
3.01995172040200e+02	(2.91819274716703e+01dB,-1.10901037426209e+02°)
3.09029543251357e+02	(2.93464075883620e+01dB,-1.11513503882099e+02°)
3.16227766016836e+02	(2.95094391464941e+01dB,-1.12131254671834e+02°)
3.23593656929626e+02	(2.96709839090839e+01dB,-1.12754276896923e+02°)
3.31131121482589e+02	(2.98310033498873e+01dB,-1.13382545984020e+02°)
3.38844156139200e+02	(2.99894587353355e+01dB,-1.14016025401989e+02°)
3.46736850452529e+02	(3.01463112110935e+01dB,-1.14654666403622e+02°)
3.54813389233573e+02	(3.03015218931030e+01dB,-1.15298407795143e+02°)
3.63078054770099e+02	(3.04550519629254e+01dB,-1.15947175736632e+02°)
3.71535229097170e+02	(3.06068627671498e+01dB,-1.16600883576521e+02°)
